cohort,semester,class,course,registration_date,division,level,admission,Major,passfaildrop,grade,gender,eid,section,Instructor,Instructor type
,Spring 2021,CS3,3130,12/1/2020,U,Lower Senior,0,COMPSC-BS,Drop,W,M,E10024,S106,T010,PT
A,Spring 2021,CS1,1115,1/14/2021,U,Upper Senior,Continuing,COMPSC-BS,Fail,F,M,E10069,S118,T008,PT
,Spring 2021,CS2,3115,11/20/2020,U,Upper Senior,Continuing,INFOSCI-BS,Pass,C+,F,E10088,S103,T012,PT
A,Spring 2021,CS1,1115,12/15/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,B,F,E10194,S115,T117,TT
A,Spring 2021,CS1,1115,1/7/2021,U,Upper Senior,Readmitted,COMPSC-BS,Drop,W,F,E10406,S128,T014,PT
,Spring 2021,CS2,3115,11/18/2020,U,2nd Degree,Continuing,MULTI-BS,Pass,A,M,E10499,S116,T116,TT
,Spring 2021,CS2,3115,11/16/2020,U,Upper Senior,Continuing,INFOSCI-BS,Pass,B-,M,E10521,S106,T013,PT
,Spring 2021,CS2,3115,11/16/2020,U,Lower Senior,Continuing,MULTI-BS,Pass,B,M,E10539,S119,T112,TT
,Spring 2021,CS2,3115,11/17/2020,U,Upper Junior,Continuing,COMPSC-BS,Fail,FIN,M,E10561,S116,T116,TT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Fail,F,M,E10644,S119,T112,TT
,Spring 2021,CS2,3115,11/16/2020,U,Upper Senior,Continuing,COMPSC-BS,Drop,W,F,E10653,S119,T112,TT
,Spring 2021,CS2,3115,11/16/2020,U,Upper Senior,Continuing,COMPSC-BS,Pass,A-,M,E10690,S116,T116,TT
,Spring 2021,CS2,3115,11/19/2020,U,Upper Senior,Continuing,INFOSCI-BS,Pass,A,F,E10818,S103,T012,PT
,Spring 2021,CS2,3115,2/4/2021,U,Upper Junior,Continuing,COMPSC-BS,Drop,W,M,E10842,S106,T013,PT
,Spring 2021,CS2,3115,11/17/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,B,M,E10845,S119,T112,TT
,Spring 2021,CS3,3130,12/22/2020,U,Upper Junior,0,COMPSC-BS,Drop,W,M,E10851,S106,T010,PT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Fail,F,M,E10868,S119,T112,TT
A,Spring 2021,CS1,1115,11/20/2020,U,Upper Sophomore,Continuing,COMPSC-BS,Pass,A,M,E10990,S119,T117,TT
A,Spring 2021,CS1,1170,11/25/2020,U,Upper Senior,Continuing,COMPSC-BS,Pass,B,F,E11037,S108,T107,TT
A,Spring 2021,CS1,1115,12/2/2020,U,Upper Senior,Continuing,Other,Drop,W,M,E11042,S126,T104,TT
A,Spring 2021,CS1,1115,11/19/2020,U,2nd Degree,0,COMPSC-BS,Pass,A+,M,E11079,S102,T006,PT
A,Spring 2021,CS1,1115,11/23/2020,U,Lower Senior,Continuing,INFOSCI-BS,Drop,W,M,E11108,S119,T117,TT
A,Spring 2021,CS1,1115,1/5/2021,U,Lower Senior,Continuing,INFOSCI-BS,Pass,C,M,E11109,S102,T006,PT
,Spring 2021,CS3,3130,11/16/2020,U,Lower Freshman,Continuing,COMPSC-BS,Drop,W,F,E11150,S106,T010,PT
A,Spring 2021,CS1,1115,11/29/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B,M,E11163,S105,T010,PT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Junior,Continuing,INFOSCI-BS,Drop,W,M,E11180,S119,T112,TT
,Spring 2021,CS3,3130,11/16/2020,U,Lower Senior,Continuing,COMPSC-BS,Drop,W,M,E11190,S119,T116,TT
A,Spring 2021,CS1,1170,11/4/2020,U,Lower Senior,Continuing,COMPSC-BS,Pass,B+,M,E11207,S108,T107,TT
,Spring 2021,CS2,3115,12/4/2020,U,Lower Senior,Continuing,COMPSC-BS,Pass,B,M,E11207,S116,T116,TT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Pass,C,F,E11214,S119,T112,TT
A,Spring 2021,CS1,1170,12/14/2020,U,Upper Junior,Continuing,COMPSC-BS,Pass,A,F,E11218,S202,T107,TT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Junior,Continuing,COMPSC-BS,Pass,B-,M,E11225,S106,T013,PT
A,Spring 2021,CS1,1115,11/17/2020,U,Upper Senior,Continuing,Other,Fail,F,F,E11226,S113,T110,TT
,Spring 2021,CS2,3115,1/7/2021,U,Upper Senior,Continuing,INFOSCI-BS,Fail,FIN,M,E11263,S126,T009,PT
A,Spring 2021,CS1,1115,11/4/2020,U,Upper Senior,Continuing,Other,Fail,F,F,E11310,S107,T117,TT
,Spring 2021,CS2,3115,11/18/2020,U,Upper Sophomore,Continuing,UNDECL-BA,Pass,A-,M,E11408,S116,T116,TT
A,Spring 2021,CS1,1115,12/17/2020,U,Lower Senior,Continuing,COMPSC-BS,Fail,F,M,E11421,S125,T104,TT
,Spring 2021,CS2,3115,11/17/2020,U,Lower Senior,Continuing,INFOSCI-BS,Fail,D,M,E11428,S106,T013,PT
A,Spring 2021,CS1,1115,1/28/2021,U,Lower Senior,0,Other,Drop,W,M,E11440,S122,T107,TT
